10001	1	1	0	0	0	1	0
10002	1	1	1	0	0	0	1
10003	1	0	1	0	0	1	0
10004	0	0	0	0	0	1	0
10005	1	1	0	0	0	0	1
10006	0	0	0	1	0	1	1
10007	0	0	0	1	1	1	0
10008	0	1	1	0	1	1	0
10009	1	1	1	1	0	0	0
10010	0	1	1	0	0	0	1
10011	1	1	0	0	0	1	1
10012	1	0	0	0	1	1	0
10013	0	1	0	1	1	1	1
10014	1	0	0	1	0	0	0
10015	1	1	1	1	1	1	0
10016	0	1	0	1	0	1	1
10017	1	1	0	0	1	1	0
10018	0	0	1	0	1	0	1
10019	0	0	0	1	0	1	1
10020	0	1	1	0	1	1	0
10021	0	1	1	0	1	1	0
10022	1	0	1	0	1	0	1
10023	1	1	0	1	0	0	0
10024	0	0	1	0	0	0	0
10025	0	0	0	0	1	0	0
10026	1	1	0	1	0	1	1
10027	1	1	0	1	0	0	1
10028	1	0	0	1	0	0	0
10029	0	0	1	0	0	0	0
10030	1	1	0	1	0	1	0
10031	1	1	0	0	0	1	1
10032	0	1	0	1	1	0	0
10033	1	0	1	1	0	1	0
10034	0	1	0	1	1	0	0
10035	0	0	0	0	1	0	0
10036	0	1	0	0	1	0	1
10037	1	0	1	1	0	1	0
10038	1	0	0	1	1	0	0
10039	1	0	1	1	0	0	0
10040	0	1	1	1	1	0	0
10041	0	0	1	0	0	0	0
10042	1	1	0	1	0	0	0
10043	0	1	0	1	1	0	0
10044	1	0	1	0	1	0	0
10045	1	0	0	0	0	0	1
10046	0	1	0	0	0	1	1
10047	1	1	0	1	1	0	0
10048	0	0	0	0	1	0	1
10049	0	1	0	0	0	1	1
10050	1	0	0	0	1	1	1
10051	1	1	0	0	1	0	0
10052	1	1	0	0	1	1	1
10053	0	0	0	0	1	0	1
10054	1	1	1	1	0	1	0
10055	0	0	0	0	0	0	0
10056	0	0	1	1	0	0	0
10057	0	0	1	0	1	1	1
10058	0	0	0	0	1	0	0
10059	1	1	1	0	0	1	0
10060	1	1	1	0	1	0	1
10061	1	1	0	0	0	0	1
10062	1	1	0	0	0	0	0
10063	1	0	0	0	0	1	0
10064	0	0	1	1	0	0	0
10065	1	1	0	1	0	0	1
10066	1	0	0	1	0	0	0
10067	1	0	1	0	0	1	0
10068	1	1	0	1	1	1	1
10069	0	0	1	0	0	1	0
10070	0	1	0	1	1	1	1
10071	1	1	1	1	1	0	1
10072	1	0	0	0	1	1	0
10073	0	0	1	1	0	1	0
10074	0	0	0	0	1	0	0
10075	0	0	0	0	1	0	0
10076	1	1	0	1	0	0	0
10077	1	1	1	1	1	0	0
10078	0	1	0	0	0	0	0
10079	1	1	1	0	0	0	1
