10001	50	25	95
10002	81	64	80
10003	58	12	14
10004	0	65	78
10005	63	47	68
10006	82	85	57
10007	51	28	0
10008	29	68	2
10009	95	48	33
10010	47	30	16
10011	95	43	95
10012	100	52	78
10013	2	27	24
10014	2	83	46
10015	22	79	23
10016	0	63	36
10017	91	67	37
10018	8	66	58
10019	75	34	46
10020	7	99	67
10021	100	100	37
10022	86	42	0
10023	83	67	35
10024	61	60	37
10025	42	34	20
10026	10	29	68
10027	16	14	21
10028	41	37	34
10029	44	57	37
10030	20	87	83
10031	97	60	48
10032	14	66	91
10033	52	78	74
10034	46	71	11
10035	55	17	59
10036	72	1	64
10037	77	28	91
10038	2	44	45
10039	85	70	93
10040	35	96	89
10041	49	3	38
10042	51	53	56
10043	10	12	25
10044	83	74	62
10045	98	10	86
10046	79	61	63
10047	14	8	44
10048	55	83	18
10049	61	26	77
10050	6	9	12
10051	10	21	24
10052	0	75	66
10053	31	21	9
10054	83	12	99
10055	20	14	1
10056	70	54	96
10057	20	38	64
10058	45	88	47
10059	51	60	13
10060	38	19	33
10061	44	62	94
10062	15	91	46
10063	77	4	49
10064	25	44	36
10065	100	62	79
10066	6	95	21
10067	51	39	85
10068	44	88	20
10069	34	77	33
10070	72	94	31
10071	97	5	73
10072	83	59	26
10073	44	26	65
10074	99	12	91
10075	93	2	35
10076	65	80	6
10077	100	17	86
10078	73	39	88
10079	0	70	37
10080	68	31	14
10081	45	67	96
10082	57	87	58
10083	73	31	85
10084	11	66	20
10085	86	49	11
10086	76	71	81
10087	82	32	95
10088	8	4	94
10089	38	98	4
10090	20	51	78
10091	2	92	64
10092	78	25	55
10093	39	0	83
10094	44	92	99
10095	59	23	83
10096	74	99	29
10097	15	31	43
10098	62	23	16
10099	19	99	28
10100	91	37	9
10101	58	57	19
10102	64	70	51
10103	65	7	6
10104	65	10	46
10105	49	49	94
10106	27	24	72
10107	2	22	65
10108	91	73	58
10109	34	72	44
10110	89	24	69
10111	24	89	90
10112	22	61	43
10113	95	11	76
10114	90	33	28
10115	43	87	45
10116	77	78	45
10117	96	1	73
10118	23	35	51
10119	56	24	45
10120	58	22	0
10121	45	97	2
10122	9	52	12
10123	61	57	37
10124	18	70	86
10125	0	12	5
10126	62	28	57
10127	19	60	17
10128	60	73	34
10129	51	84	23
10130	9	45	27
10131	17	1	10
10132	5	43	91
10133	32	80	51
10134	18	2	83
10135	61	43	6
10136	27	30	91
10137	0	26	95
10138	72	72	33
10139	78	33	69
10140	91	94	13
10141	86	96	85
10142	21	51	46
10143	54	14	48
10144	43	80	29
10145	40	75	12
10146	26	18	9
10147	83	17	19
10148	55	95	33
10149	52	20	11
10150	77	29	95
10151	50	54	69
10152	42	57	48
10153	74	18	3
10154	25	44	69
10155	51	69	37
10156	20	97	88
10157	71	96	50
10158	47	19	52
10159	27	6	3
10160	44	75	77
10161	89	46	76
10162	55	49	67
10163	81	95	30
10164	28	67	56
10165	44	72	61
10166	32	34	25
10167	19	42	29
10168	82	97	23
10169	10	30	24
10170	3	24	69
10171	89	22	30
10172	34	81	82
10173	99	68	3
10174	52	2	95
10175	22	16	95
10176	25	42	30
10177	79	94	89
10178	82	11	76
10179	53	84	85
10180	4	68	77
10181	36	29	42
10182	11	25	33
10183	76	17	42
10184	77	0	34
10185	100	10	82
10186	88	67	95
10187	87	62	76
10188	56	69	83
10189	3	83	23
10190	84	79	89
10191	93	51	71
10192	84	13	43
10193	92	13	14
10194	64	89	39
10195	48	92	82
10196	18	38	43
10197	17	64	75
10198	32	87	4
10199	38	61	66
10200	5	79	9
